cronName,startTime,runTime,threshold
Cron-3,2013-05-17 21:34:00,2522,3000
Cron-3,2013-05-20 20:57:00,2522,3000
Cron-3,2013-05-21 21:27:00,3482,3000
Cron-3,2013-05-22 23:07:00,2402,3000
Cron-3,2013-05-23 20:55:00,2282,3000
Cron-3,2013-05-24 20:42:00,2281,3000
Cron-3,2013-05-27 20:21:00,2281,3000
Cron-3,2013-05-28 20:42:00,2162,3000
Cron-3,2013-05-29 20:59:00,2522,3000
Cron-3,2013-05-30 21:06:00,2161,3000
Cron-3,2013-06-03 21:07:00,2522,3000
Cron-3,2013-06-04 20:50:00,2281,3000
Cron-3,2013-06-05 20:38:00,2881,3000
Cron-3,2013-06-06 20:59:00,2402,3000
Cron-3,2013-06-07 20:57:00,2042,3000
Cron-3,2013-06-10 20:37:00,2402,3000
Cron-3,2013-06-11 20:28:00,2402,3000
Cron-3,2013-06-12 20:54:00,2282,3000
Cron-3,2013-06-13 20:49:00,2281,3000
Cron-3,2013-06-14 20:13:00,2522,3000
Cron-3,2013-06-17 20:01:00,2641,3000
Cron-3,2013-06-18 20:01:00,2521,3000
Cron-3,2013-06-19 20:01:00,2401,3000
Cron-3,2013-06-20 20:01:00,2642,3000
Cron-3,2013-06-21 20:01:00,2762,3000
Cron-3,2013-06-24 20:19:00,2282,3000
Cron-3,2013-06-25 20:01:00,2762,3000
Cron-3,2013-06-26 20:01:00,2761,3000
Cron-3,2013-06-27 20:01:00,2761,3000
Cron-3,2013-06-28 20:01:00,2762,3000
Cron-3,2013-07-01 20:01:00,2761,3000
Cron-3,2013-07-02 20:01:00,2881,3000
Cron-3,2013-07-03 20:01:00,3122,3000
Cron-3,2013-07-04 20:01:00,2281,3000
Cron-3,2013-07-05 20:01:00,4202,3000
Cron-3,2013-07-08 20:28:00,2162,3000
Cron-3,2013-07-09 20:01:00,2641,3000
Cron-3,2013-07-10 20:01:00,2761,3000
Cron-3,2013-07-11 20:01:00,2761,3000
Cron-3,2013-07-12 20:01:00,2642,3000
Cron-3,2013-07-15 20:01:00,2282,3000
Cron-3,2013-07-16 20:01:00,2281,3000
Cron-3,2013-07-17 20:01:00,2501,3000
Cron-3,2013-07-18 20:01:00,2642,3000
Cron-3,2013-07-19 20:01:00,2641,3000
Cron-3,2013-07-22 20:01:00,2642,3000
Cron-3,2013-07-23 20:01:00,2762,3000
Cron-3,2013-07-24 20:27:00,2282,3000
Cron-3,2013-07-25 20:01:00,2521,3000
Cron-3,2013-07-26 20:01:00,2401,3000
Cron-3,2013-07-29 20:01:00,2762,3000
Cron-3,2013-07-30 20:01:00,2622,3000
